City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,richards bay,-28.783,32.0377,23.64,61,35,6.51,ZA,1685033909
280,marsa alam,25.0757,34.8918,27.95,53,8,1.0,EG,1685033909
281,tuy hoa,13.0833,109.3,25.61,85,98,2.02,VN,1685033910
282,upper grand lagoon,30.1633,-85.7408,26.71,54,91,1.79,US,1685033910
283,tupiza,-21.45,-65.7167,17.73,9,3,3.15,BO,1685033910
284,coronel oviedo,-25.4167,-56.45,29.3,36,0,4.57,PY,1685033910
285,bontang,0.1333,117.5,25.35,90,99,2.86,ID,1685033911
286,atherton,53.5237,-2.4935,19.15,50,11,0.89,GB,1685033911
287,humboldt,40.6665,-123.9178,6.3,47,0,2.02,US,1685033911
288,tazovsky,67.4667,78.7,2.7,88,84,4.39,RU,1685033764
289,scarborough,54.2797,-0.4044,16.48,76,17,5.36,GB,1685033706
290,brisas de zicatela,15.8369,-97.0419,31.57,56,77,2.81,MX,1685033913
291,mapastepec,15.4333,-92.9,34.33,51,19,3.62,MX,1685033914
292,visby,57.6409,18.296,17.12,51,0,1.54,SE,1685033914
293,puerto ayora,-0.7393,-90.3518,29.98,88,71,4.47,EC,1685033914
294,keelung,25.1283,121.7419,25.59,92,21,3.65,TW,1685033914
295,guarapari,-20.6667,-40.4975,25.5,71,16,2.45,BR,1685033915
296,kandi,11.1342,2.9386,38.12,27,55,1.04,BJ,1685033915
297,jalai nur,49.45,117.7,9.87,26,65,6.96,CN,1685033915
298,nabire,-3.3667,135.4833,24.95,92,99,1.88,ID,1685033916
299,dazhou,31.2159,107.5009,19.67,92,93,1.89,CN,1685033916
300,stavern,59.0,10.0333,17.32,41,73,3.85,NO,1685033904
301,zeya,53.75,127.2667,8.22,96,100,2.94,RU,1685033917
302,bengkulu,-3.8004,102.2655,25.48,88,27,2.2,ID,1685033917
303,vieux-habitants,16.0589,-61.7659,29.76,74,14,4.91,GP,1685033917
304,pariaman,-0.619,100.12,26.03,84,53,1.78,ID,1685033918
305,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,100,75,2.0,RU,1685033918
306,fort bragg,35.139,-79.006,24.72,45,40,6.69,US,1685033918
307,mount gambier,-37.8333,140.7667,8.84,67,32,5.15,AU,1685033919
308,catumbela,-12.4314,13.5472,23.54,85,11,1.45,AO,1685033919
309,flying fish cove,-10.4217,105.6791,25.82,88,100,5.66,CX,1685033919
310,sake,-1.5736,29.045,18.06,94,69,1.07,CD,1685033920
311,iskateley,67.6803,53.1512,18.83,70,94,8.71,RU,1685033920
312,juneau,58.3019,-134.4197,11.9,98,100,1.47,US,1685033920
313,sinabang,2.4803,96.3801,26.62,83,69,1.61,ID,1685033921
314,rawson,-43.3002,-65.1023,17.64,28,21,13.36,AR,1685033921
315,kuanda,56.3161,116.0806,3.27,99,100,1.43,RU,1685033921
316,sao vicente,-23.9631,-46.3919,30.15,69,20,1.34,BR,1685033922
317,nago,26.5881,127.9761,23.47,76,57,5.09,JP,1685033344
318,alacranes,22.7675,-81.5675,31.57,48,10,1.86,CU,1685033922
319,kailua-kona,19.6406,-155.9956,24.17,80,75,0.89,US,1685033923
320,wucheng,29.6008,118.175,21.34,93,100,0.88,CN,1685033923
321,kingman,35.1894,-114.053,26.4,11,8,4.02,US,1685033923
322,yangquan,37.8575,113.5633,19.21,28,100,1.4,CN,1685033893
323,north tamworth,-31.0778,150.9261,7.06,65,100,2.57,AU,1685033924
324,ambon,-3.6954,128.1814,29.08,74,40,3.09,ID,1685033924
325,ariquemes,-9.9133,-63.0408,27.36,89,93,1.04,BR,1685033924
326,santana,-0.0583,-51.1817,32.1,66,75,4.12,BR,1685033925
327,salinopolis,-0.6136,-47.3561,28.46,76,25,5.81,BR,1685033925
328,magadan,59.5667,150.8,1.41,93,100,0.72,RU,1685033714
329,kralendijk,12.15,-68.2667,27.44,86,100,7.55,BQ,1685033926
330,kalmunai,7.4167,81.8167,28.51,77,19,2.09,LK,1685033926
331,ust-tsilma,65.441,52.1498,20.48,64,41,4.96,RU,1685033926
332,xudat,41.631,48.681,19.9,81,90,2.21,AZ,1685033927
333,kerikeri,-35.2268,173.9474,7.73,94,16,1.26,NZ,1685033927
334,minas de marcona,-15.2119,-75.1103,19.54,61,41,5.66,PE,1685033927
335,sao jose da coroa grande,-8.8978,-35.1478,27.67,73,33,5.76,BR,1685033928
